city,timestamp,data_time,temperature,humidity,weather,wind_speed,aqi,pm25,coordinates
Paris,2025-06-24T09:41:20.741148,1750758079,22.17,50,clear sky,4.63,33,33,"{'lat': 48.8588897, 'lon': 2.3200410217200766}"
Paris,2025-06-24T09:41:35.174098,1750758079,22.17,50,clear sky,4.63,33,33,"{'lat': 48.8588897, 'lon': 2.3200410217200766}"
Paris,2025-06-24T09:50:33.987131,1750758538,22.9,44,clear sky,4.63,33,33,"{'lat': 48.8588897, 'lon': 2.3200410217200766}"
Paris,2025-06-24T09:51:12.287926,1750758538,22.9,44,clear sky,4.63,33,33,"{'lat': 48.8588897, 'lon': 2.3200410217200766}"
